Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,Replicate
2,25,magus,ft,0.0642,0.0666,0.1189,0.1028,671,7
2,25,magus,ft,0.0607,0.0631,0.1673,0.1356,729,8
2,25,magus,ft,0.0787,0.0801,0.1624,0.1372,678,9
3,25,magus,ft,0.0506,0.0511,0.1080,0.0942,921,0
3,25,magus,ft,0.0577,0.0606,0.1362,0.1242,851,1
3,25,magus,ft,0.0632,0.0651,0.1339,0.1267,831,2
3,25,magus,ft,0.0552,0.0571,0.0706,0.0667,899,3
3,25,magus,ft,0.1119,0.1146,0.1680,0.1572,787,4
3,25,magus,ft,0.0471,0.0490,0.1141,0.1081,1074,5
3,25,magus,ft,0.0612,0.0631,0.1372,0.1204,878,6
3,25,magus,ft,0.0652,0.0676,0.1055,0.0991,865,7
3,25,magus,ft,0.0577,0.0601,0.1471,0.1287,923,8
3,25,magus,ft,0.0757,0.0771,0.1477,0.1329,862,9
4,25,magus,ft,0.0516,0.0521,0.0990,0.0913,1117,0
4,25,magus,ft,0.0547,0.0576,0.1216,0.1119,1041,1
4,25,magus,ft,0.0642,0.0661,0.1362,0.1254,1007,2
4,25,magus,ft,0.0567,0.0586,0.0821,0.0710,1091,3
4,25,magus,ft,0.1135,0.1161,0.1811,0.1664,959,4
4,25,magus,ft,0.0486,0.0506,0.1204,0.1066,1294,5
4,25,magus,ft,0.0637,0.0656,0.1356,0.1141,1062,6
4,25,magus,ft,0.0697,0.0721,0.1009,0.0964,1059,7
4,25,magus,ft,0.0612,0.0636,0.1402,0.1176,1113,8
4,25,magus,ft,0.0717,0.0731,0.1471,0.1299,1046,9
1,25,magus,ftnoml,0.0771,0.0776,0.1011,0.0942,475,0
1,25,magus,ftnoml,0.0813,0.0841,0.1383,0.1300,475,1
1,25,magus,ftnoml,0.1028,0.1046,0.1518,0.1340,487,2
1,25,magus,ftnoml,0.0817,0.0836,0.0879,0.0761,511,3
1,25,magus,ftnoml,0.1933,0.1957,0.2007,0.1818,437,4
1,25,magus,ftnoml,0.0612,0.0631,0.1210,0.1133,622,5
1,25,magus,ftnoml,0.0928,0.0946,0.1370,0.1088,514,6
1,25,magus,ftnoml,0.0963,0.0986,0.1188,0.1040,479,7
1,25,magus,ftnoml,0.0863,0.0886,0.1517,0.1332,535,8
1,25,magus,ftnoml,0.1268,0.1281,0.1676,0.1391,490,9
2,25,magus,ftnoml,0.0806,0.0811,0.0995,0.0949,649,0
2,25,magus,ftnoml,0.0838,0.0866,0.1337,0.1225,579,1
2,25,magus,ftnoml,0.0988,0.1006,0.1377,0.1204,581,2
2,25,magus,ftnoml,0.0868,0.0886,0.0790,0.0685,615,3
2,25,magus,ftnoml,0.1406,0.1431,0.2139,0.1915,533,4
2,25,magus,ftnoml,0.0757,0.0776,0.1263,0.1122,742,5
2,25,magus,ftnoml,0.0938,0.0956,0.1410,0.1180,616,6
2,25,magus,ftnoml,0.0893,0.0916,0.1210,0.1038,585,7
2,25,magus,ftnoml,0.0803,0.0826,0.1574,0.1470,631,8
2,25,magus,ftnoml,0.0997,0.1011,0.1576,0.1307,584,9
3,25,magus,ftnoml,0.0801,0.0806,0.1012,0.0917,739,0
3,25,magus,ftnoml,0.0863,0.0891,0.1334,0.1239,679,1
3,25,magus,ftnoml,0.0938,0.0956,0.1390,0.1157,677,2
3,25,magus,ftnoml,0.0817,0.0836,0.0846,0.0754,723,3
3,25,magus,ftnoml,0.1441,0.1466,0.2119,0.1851,629,4
3,25,magus,ftnoml,0.0742,0.0761,0.1403,0.1202,864,5
3,25,magus,ftnoml,0.0928,0.0946,0.1536,0.1289,720,6
3,25,magus,ftnoml,0.0843,0.0866,0.1042,0.1004,695,7
3,25,magus,ftnoml,0.0858,0.0881,0.1452,0.1303,727,8
3,25,magus,ftnoml,0.0947,0.0961,0.1512,0.1378,678,9
4,25,magus,ftnoml,0.0791,0.0796,0.1003,0.0889,835,0
4,25,magus,ftnoml,0.0828,0.0856,0.1298,0.1203,781,1
4,25,magus,ftnoml,0.0953,0.0971,0.1355,0.1201,773,2
4,25,magus,ftnoml,0.0827,0.0846,0.0823,0.0673,833,3
4,25,magus,ftnoml,0.1315,0.1341,0.1884,0.1644,725,4
4,25,magus,ftnoml,0.0747,0.0766,0.1206,0.1119,984,5
4,25,magus,ftnoml,0.0938,0.0956,0.1355,0.1123,824,6
4,25,magus,ftnoml,0.0883,0.0906,0.1090,0.0999,805,7
4,25,magus,ftnoml,0.0858,0.0881,0.1611,0.1434,819,8
4,25,magus,ftnoml,0.0967,0.0981,0.1574,0.1400,770,9
1,25,clustalo,ft,0.2914,0.2918,0.2363,0.2090,386,0
1,25,clustalo,ft,0.2816,0.2838,0.4193,0.3721,386,1
1,25,clustalo,ft,0.3074,0.3088,0.3499,0.3165,508,2
1,25,clustalo,ft,0.2743,0.2758,0.2607,0.2231,443,3
1,25,clustalo,ft,0.3464,0.3483,0.5195,0.4692,343,4
1,25,clustalo,ft,0.2834,0.2848,0.2415,0.2249,608,5
1,25,clustalo,ft,0.3044,0.3058,0.3597,0.3260,414,6
1,25,clustalo,ft,0.3176,0.3193,0.2764,0.2531,442,7
1,25,clustalo,ft,0.3111,0.3128,0.4220,0.3799,418,8
1,25,clustalo,ft,0.3163,0.3173,0.4838,0.4330,466,9
2,25,clustalo,ft,0.0966,0.0971,0.1227,0.1131,787,0
2,25,clustalo,ft,0.1692,0.1717,0.2592,0.2339,644,1
2,25,clustalo,ft,0.1409,0.1426,0.1611,0.1472,812,2
2,25,clustalo,ft,0.1264,0.1281,0.1464,0.1311,739,3
2,25,clustalo,ft,0.2359,0.2382,0.2941,0.2614,595,4
2,25,clustalo,ft,0.0848,0.0866,0.1547,0.1306,1032,5
2,25,clustalo,ft,0.1630,0.1647,0.1807,0.1523,634,6
2,25,clustalo,ft,0.1239,0.1261,0.1325,0.1188,744,7
2,25,clustalo,ft,0.1736,0.1757,0.2597,0.2292,686,8
2,25,clustalo,ft,0.1955,0.1967,0.2628,0.2209,766,9
3,25,clustalo,ft,0.0606,0.0611,0.1079,0.0978,1063,0
3,25,clustalo,ft,0.1104,0.1131,0.1964,0.1747,832,1
3,25,clustalo,ft,0.0817,0.0836,0.1509,0.1364,1024,2
3,25,clustalo,ft,0.0943,0.0961,0.1399,0.1235,949,3
3,25,clustalo,ft,0.1546,0.1572,0.2661,0.2411,793,4
3,25,clustalo,ft,0.0652,0.0671,0.1410,0.1302,1316,5
3,25,clustalo,ft,0.0817,0.0836,0.1582,0.1491,824,6
3,25,clustalo,ft,0.0833,0.0856,0.1123,0.1043,956,7
3,25,clustalo,ft,0.1254,0.1276,0.2460,0.2069,888,8
3,25,clustalo,ft,0.1223,0.1236,0.1782,0.1620,988,9
4,25,clustalo,ft,0.0531,0.0536,0.1079,0.0951,1295,0
4,25,clustalo,ft,0.0954,0.0981,0.1687,0.1579,1020,1
4,25,clustalo,ft,0.0742,0.0761,0.1406,0.1288,1226,2
4,25,clustalo,ft,0.0933,0.0951,0.1421,0.1205,1151,3
4,25,clustalo,ft,0.1381,0.1406,0.2383,0.2019,991,4
4,25,clustalo,ft,0.0632,0.0651,0.1270,0.1180,1570,5
4,25,clustalo,ft,0.0762,0.0781,0.1443,0.1277,1012,6
4,25,clustalo,ft,0.0743,0.0766,0.0988,0.0934,1156,7
4,25,clustalo,ft,0.1019,0.1041,0.2161,0.1945,1078,8
4,25,clustalo,ft,0.1013,0.1026,0.1640,0.1498,1206,9
1,25,clustalo,ftnoml,0.2914,0.2918,0.2363,0.2090,386,0
1,25,clustalo,ftnoml,0.2816,0.2838,0.4193,0.3721,386,1
1,25,clustalo,ftnoml,0.3074,0.3088,0.3499,0.3165,508,2
1,25,clustalo,ftnoml,0.2743,0.2758,0.2607,0.2231,443,3
