Dataset,Replicate,Method,Iteration,Runtime
RNASim-1000,R9,magus_clustalo-iter2,2,782.0700
RNASim-1000,R9,magus_clustalo-iter2guide,2,56.3300
RNASim-1000,R9,magus_clustalo-iter3,3,760.2200
RNASim-1000,R9,magus_clustalo-iter3guide,3,57.5200
RNASim-1000,R9,magus_clustalo-iter4,4,694.3300
RNASim-1000,R9,magus_default-iter0initi,0,432.5500
RNASim-1000,R9,magus_default-iter1,1,599.7700
RNASim-1000,R9,magus_magus-iter0initi,0,443.1900
RNASim-1000,R9,magus_magus-iter1,1,332.4200
RNASim-1000,R9,magus_magus-iter1guide,1,83.3300
RNASim-1000,R9,magus_magus-iter2,2,351.2800
RNASim-1000,R9,magus_magus-iter2guide,2,83.5100
RNASim-1000,R9,magus_magus-iter3,3,326.0500
RNASim-1000,R9,magus_magus-iter3guide,3,83.5800
RNASim-1000,R9,magus_magus-iter4,4,364.0900
RNASim-10000,R0,magus_clustalo-iter0initi,0,55.3400
RNASim-10000,R0,magus_clustalo-iter1,1,986.3500
RNASim-10000,R0,magus_clustalo-iter1guide,1,6846.8700
RNASim-10000,R0,magus_clustalo-iter2,2,966.4300
RNASim-10000,R0,magus_clustalo-iter2guide,2,6324.6900
RNASim-10000,R0,magus_clustalo-iter3,3,968.6800
RNASim-10000,R0,magus_clustalo-iter3guide,3,6225.9300
RNASim-10000,R0,magus_clustalo-iter4,4,950.6200
RNASim-10000,R0,magus_default-iter0initi,0,1099.4500
RNASim-10000,R0,magus_default-iter1,1,1854.2000
RNASim-10000,R0,magus_magus-iter0initi,0,1001.2900
RNASim-10000,R0,magus_magus-iter1,1,997.3200
RNASim-10000,R0,magus_magus-iter1guide,1,6319.9000
RNASim-10000,R0,magus_magus-iter2,2,971.3400
RNASim-10000,R0,magus_magus-iter2guide,2,6232.5000
RNASim-10000,R0,magus_magus-iter3,3,922.4300
RNASim-10000,R0,magus_magus-iter3guide,3,6231.4000
RNASim-10000,R0,magus_magus-iter4,4,949.1400
