dataset,replicate,method,iteration,runtime
ROSE-1000L1,R4,magus_magus-iter0,0,763.7100
ROSE-1000L1,R4,magus_magus-iter1,1,176.8200
ROSE-1000L1,R4,magus_magus-iter2,2,170.4300
ROSE-1000L1,R4,magus_magus-iter3,3,163.4800
ROSE-1000L1,R4,magus_magus-iter4,4,119.6900
ROSE-1000L1,R4,muscle,-1,2042.3900
ROSE-1000L1,R4,pasta-iter3,3,1522.5500
ROSE-1000L1,R5,clustalo,-1,510.2100
ROSE-1000L1,R5,mafft,-1,15.6100
ROSE-1000L1,R5,magus_clustalo-iter0,0,21.2400
ROSE-1000L1,R5,magus_clustalo-iter1,1,331.2400
ROSE-1000L1,R5,magus_clustalo-iter2,2,317.7200
ROSE-1000L1,R5,magus_clustalo-iter3,3,299.1600
ROSE-1000L1,R5,magus_clustalo-iter4,4,269.5300
ROSE-1000L1,R5,magus_default-iter0,0,404.3000
ROSE-1000L1,R5,magus_default-iter1,1,790.1200
ROSE-1000L1,R5,magus_magus-iter0,0,889.1700
ROSE-1000L1,R5,magus_magus-iter1,1,146.0300
ROSE-1000L1,R5,magus_magus-iter2,2,159.9200
ROSE-1000L1,R5,magus_magus-iter3,3,182.1000
ROSE-1000L1,R5,magus_magus-iter4,4,116.9800
ROSE-1000L1,R5,muscle,-1,1893.9000
ROSE-1000L1,R5,pasta-iter3,3,1310.9300
ROSE-1000L1,R6,clustalo,-1,701.5000
ROSE-1000L1,R6,mafft,-1,16.3200
ROSE-1000L1,R6,magus_clustalo-iter0,0,22.5200
ROSE-1000L1,R6,magus_clustalo-iter1,1,578.6000
ROSE-1000L1,R6,magus_clustalo-iter2,2,561.0600
ROSE-1000L1,R6,magus_clustalo-iter3,3,535.7300
ROSE-1000L1,R6,magus_clustalo-iter4,4,538.0300
ROSE-1000L1,R6,magus_default-iter0,0,662.0400
ROSE-1000L1,R6,magus_default-iter1,1,476.1000
ROSE-1000L1,R6,magus_magus-iter0,0,584.0800
ROSE-1000L1,R6,magus_magus-iter1,1,173.7500
ROSE-1000L1,R6,magus_magus-iter2,2,160.3500
ROSE-1000L1,R6,magus_magus-iter3,3,182.5900
ROSE-1000L1,R6,magus_magus-iter4,4,117.9900
ROSE-1000L1,R6,muscle,-1,2063.6200
ROSE-1000L1,R6,pasta-iter3,3,1375.9900
ROSE-1000L1,R7,clustalo,-1,543.9900
