dataset,replicate,method,iteration,runtime
RNASim-10000,R1,magus_clustalo-iter4,4,23027.0500
RNASim-10000,R1,magus_default-iter0,0,1974.2600
RNASim-10000,R1,magus_default-iter1,1,5490.5200
RNASim-10000,R1,magus_magus-iter0,0,4535.2800
RNASim-10000,R1,magus_magus-iter1,1,11529.4700
RNASim-10000,R1,magus_magus-iter2,2,18558.9100
RNASim-10000,R1,magus_magus-iter3,3,25745.8800
RNASim-10000,R1,magus_magus-iter4,4,26750.4800
RNASim-10000,R1,muscle,-1,40623.9300
RNASim-10000,R1,pasta-iter3,3,7081.8900
RNASim-10000,R2,clustalo,-1,8679.1500
RNASim-10000,R2,mafft,-1,93.1600
RNASim-10000,R2,magus_clustalo-iter0,0,150.0700
RNASim-10000,R2,magus_clustalo-iter1,1,7755.8200
RNASim-10000,R2,magus_clustalo-iter2,2,15027.7900
RNASim-10000,R2,magus_clustalo-iter3,3,22306.7100
RNASim-10000,R2,magus_clustalo-iter4,4,23341.5200
RNASim-10000,R2,magus_default-iter0,0,2260.4100
RNASim-10000,R2,magus_default-iter1,1,5962.5500
RNASim-10000,R2,magus_magus-iter0,0,4724.0700
RNASim-10000,R2,magus_magus-iter1,1,11714.8000
RNASim-10000,R2,magus_magus-iter2,2,18900.1200
RNASim-10000,R2,magus_magus-iter3,3,26138.5200
RNASim-10000,R2,magus_magus-iter4,4,27181.0800
RNASim-10000,R2,muscle,-1,38599.9200
RNASim-10000,R2,pasta-iter3,3,6427.0300
RNASim-10000,R3,clustalo,-1,8794.7000
RNASim-10000,R3,mafft,-1,90.8600
RNASim-10000,R3,magus_clustalo-iter0,0,147.0600
RNASim-10000,R3,magus_clustalo-iter1,1,7887.3300
RNASim-10000,R3,magus_clustalo-iter2,2,15101.6400
RNASim-10000,R3,magus_clustalo-iter3,3,22148.8200
RNASim-10000,R3,magus_clustalo-iter4,4,23125.0200
RNASim-10000,R3,magus_default-iter0,0,2046.9100
RNASim-10000,R3,magus_default-iter1,1,5710.2300
RNASim-10000,R3,magus_magus-iter0,0,4759.9300
RNASim-10000,R3,magus_magus-iter1,1,12122.5500
RNASim-10000,R3,magus_magus-iter2,2,19108.7200
RNASim-10000,R3,magus_magus-iter3,3,26418.3700
RNASim-10000,R3,magus_magus-iter4,4,27448.7100
RNASim-10000,R3,muscle,-1,39860.8000
RNASim-10000,R3,pasta-iter3,3,7500.3100
RNASim-10000,R4,clustalo,-1,8710.8600
RNASim-10000,R4,mafft,-1,93.4300
RNASim-10000,R4,magus_clustalo-iter0,0,151.0200
RNASim-10000,R4,magus_clustalo-iter1,1,7977.2000
RNASim-10000,R4,magus_clustalo-iter2,2,14822.8100
RNASim-10000,R4,magus_clustalo-iter3,3,21976.6600
RNASim-10000,R4,magus_clustalo-iter4,4,23012.6500
RNASim-10000,R4,magus_default-iter0,0,2251.3500
RNASim-10000,R4,magus_default-iter1,1,5993.4700
RNASim-10000,R4,magus_magus-iter0,0,4816.3600
RNASim-10000,R4,magus_magus-iter1,1,11746.8500
RNASim-10000,R4,magus_magus-iter2,2,19002.8500
RNASim-10000,R4,magus_magus-iter3,3,26129.7400
RNASim-10000,R4,magus_magus-iter4,4,27127.2300
RNASim-10000,R4,muscle,-1,39334.1500
RNASim-10000,R4,pasta-iter3,3,6512.5200
RNASim-10000,R5,clustalo,-1,8604.1200
RNASim-10000,R5,mafft,-1,92.4600
RNASim-10000,R5,magus_clustalo-iter0,0,148.7500
RNASim-10000,R5,magus_clustalo-iter1,1,8041.6200
RNASim-10000,R5,magus_clustalo-iter2,2,15176.8600
RNASim-10000,R5,magus_clustalo-iter3,3,22399.9000
RNASim-10000,R5,magus_clustalo-iter4,4,23334.1400
RNASim-10000,R5,magus_default-iter0,0,1945.6900
RNASim-10000,R5,magus_default-iter1,1,5686.9300
RNASim-10000,R5,magus_magus-iter0,0,4837.7300
RNASim-10000,R5,magus_magus-iter1,1,11980.9900
RNASim-10000,R5,magus_magus-iter2,2,18976.9900
RNASim-10000,R5,magus_magus-iter3,3,26245.6000
RNASim-10000,R5,magus_magus-iter4,4,27170.1100
RNASim-10000,R5,muscle,-1,38672.7200
RNASim-10000,R5,pasta-iter3,3,6762.3000
RNASim-10000,R6,clustalo,-1,8651.4300
RNASim-10000,R6,mafft,-1,93.2100
RNASim-10000,R6,magus_clustalo-iter0,0,150.0600
RNASim-10000,R6,magus_clustalo-iter1,1,7767.0400
RNASim-10000,R6,magus_clustalo-iter2,2,15019.4900
RNASim-10000,R6,magus_clustalo-iter3,3,22255.7800
RNASim-10000,R6,magus_clustalo-iter4,4,23141.4700
RNASim-10000,R6,magus_default-iter0,0,1936.7700
RNASim-10000,R6,magus_default-iter1,1,5554.9300
RNASim-10000,R6,magus_magus-iter0,0,4731.7600
RNASim-10000,R6,magus_magus-iter1,1,11851.6200
RNASim-10000,R6,magus_magus-iter2,2,19054.9000
RNASim-10000,R6,magus_magus-iter3,3,25866.8300
RNASim-10000,R6,magus_magus-iter4,4,26784.9400
RNASim-10000,R6,muscle,-1,39324.9200
RNASim-10000,R6,pasta-iter3,3,6774.6700
RNASim-10000,R7,clustalo,-1,8610.6900
RNASim-10000,R7,mafft,-1,89.9100
RNASim-10000,R7,magus_clustalo-iter0,0,145.3700
RNASim-10000,R7,magus_clustalo-iter1,1,7671.7600
RNASim-10000,R7,magus_clustalo-iter2,2,14842.1800
RNASim-10000,R7,magus_clustalo-iter3,3,21575.3500
RNASim-10000,R7,magus_clustalo-iter4,4,22502.6900
RNASim-10000,R7,magus_default-iter0,0,1988.8300
RNASim-10000,R7,magus_default-iter1,1,5595.0900
RNASim-10000,R7,magus_magus-iter0,0,4551.8400
RNASim-10000,R7,magus_magus-iter1,1,11584.9200
RNASim-10000,R7,magus_magus-iter2,2,18720.1600
RNASim-10000,R7,magus_magus-iter3,3,25922.9600
RNASim-10000,R7,magus_magus-iter4,4,26887.5600
RNASim-10000,R7,muscle,-1,38817.7800
RNASim-10000,R7,pasta-iter3,3,6289.5100
RNASim-10000,R8,clustalo,-1,8876.0800
RNASim-10000,R8,mafft,-1,90.3600
RNASim-10000,R8,magus_clustalo-iter0,0,148.4100
RNASim-10000,R8,magus_clustalo-iter1,1,8089.6800
RNASim-10000,R8,magus_clustalo-iter2,2,14895.2300
RNASim-10000,R8,magus_clustalo-iter3,3,22192.4800
RNASim-10000,R8,magus_clustalo-iter4,4,23108.8100
RNASim-10000,R8,magus_default-iter0,0,1942.1200
RNASim-10000,R8,magus_default-iter1,1,5550.3400
RNASim-10000,R8,magus_magus-iter0,0,4694.8400
RNASim-10000,R8,magus_magus-iter1,1,11765.7100
RNASim-10000,R8,magus_magus-iter2,2,18984.1900
RNASim-10000,R8,magus_magus-iter3,3,26062.3200
