Dataset,Replicate,Method,Iteration,Runtime
RNASim-10000,R0,magus_magus-iter4,4,23625.3200
RNASim-10000,R1,magus_clustalo-iter0initi,0,54.7200
RNASim-10000,R1,magus_clustalo-iter1,1,1016.2400
RNASim-10000,R1,magus_clustalo-iter1guide,1,7678.1300
RNASim-10000,R1,magus_clustalo-iter2,2,8623.7500
RNASim-10000,R1,magus_clustalo-iter2guide,2,14875.7200
RNASim-10000,R1,magus_clustalo-iter3,3,15834.8300
RNASim-10000,R1,magus_clustalo-iter3guide,3,21981.8700
RNASim-10000,R1,magus_clustalo-iter4,4,22933.3000
RNASim-10000,R1,magus_default-iter0initi,0,1022.8300
RNASim-10000,R1,magus_default-iter1,1,2780.9600
RNASim-10000,R1,magus_magus-iter0initi,0,1019.0200
RNASim-10000,R1,magus_magus-iter1,1,1957.7900
RNASim-10000,R1,magus_magus-iter1guide,1,8013.2100
RNASim-10000,R1,magus_magus-iter2,2,8974.1000
RNASim-10000,R1,magus_magus-iter2guide,2,15042.6500
RNASim-10000,R1,magus_magus-iter3,3,16035.7500
RNASim-10000,R1,magus_magus-iter3guide,3,22229.6200
RNASim-10000,R1,magus_magus-iter4,4,23234.2200
RNASim-10000,R2,magus_clustalo-iter0initi,0,56.9100
RNASim-10000,R2,magus_clustalo-iter1,1,1022.2600
RNASim-10000,R2,magus_clustalo-iter1guide,1,7662.6600
RNASim-10000,R2,magus_clustalo-iter2,2,8680.5200
RNASim-10000,R2,magus_clustalo-iter2guide,2,14934.6300
RNASim-10000,R2,magus_clustalo-iter3,3,15927.2700
RNASim-10000,R2,magus_clustalo-iter3guide,3,22213.5500
RNASim-10000,R2,magus_clustalo-iter4,4,23248.3600
RNASim-10000,R2,magus_default-iter0initi,0,1225.6000
RNASim-10000,R2,magus_default-iter1,1,3076.6700
RNASim-10000,R2,magus_magus-iter0initi,0,1021.9300
RNASim-10000,R2,magus_magus-iter1,1,2051.4900
RNASim-10000,R2,magus_magus-iter1guide,1,8012.6600
RNASim-10000,R2,magus_magus-iter2,2,8993.4400
RNASim-10000,R2,magus_magus-iter2guide,2,15197.9800
RNASim-10000,R2,magus_magus-iter3,3,16187.7800
RNASim-10000,R2,magus_magus-iter3guide,3,22436.3800
RNASim-10000,R2,magus_magus-iter4,4,23478.9400
RNASim-10000,R3,magus_clustalo-iter0initi,0,56.2000
RNASim-10000,R3,magus_clustalo-iter1,1,1070.9500
RNASim-10000,R3,magus_clustalo-iter1guide,1,7796.4700
RNASim-10000,R3,magus_clustalo-iter2,2,8780.7600
RNASim-10000,R3,magus_clustalo-iter2guide,2,15010.7800
RNASim-10000,R3,magus_clustalo-iter3,3,15982.3100
RNASim-10000,R3,magus_clustalo-iter3guide,3,22057.9600
RNASim-10000,R3,magus_clustalo-iter4,4,23034.1600
RNASim-10000,R3,magus_default-iter0initi,0,1070.7100
RNASim-10000,R3,magus_default-iter1,1,2902.3700
RNASim-10000,R3,magus_magus-iter0initi,0,1096.6100
RNASim-10000,R3,magus_magus-iter1,1,2128.9300
RNASim-10000,R3,magus_magus-iter1guide,1,8459.2300
RNASim-10000,R3,magus_magus-iter2,2,9471.5000
RNASim-10000,R3,magus_magus-iter2guide,2,15445.4000
RNASim-10000,R3,magus_magus-iter3,3,16442.8300
RNASim-10000,R3,magus_magus-iter3guide,3,22755.0500
